id,name,email,telefone,age,monthly_income,monthly_expense,risk_taken,investment_duration,financial_goal
fb74dc38-2b94-431f-bcb8-b1dee068d77a,Christine Chapman,frank75@example.com,426.922.7044,51,17693.01,12171.45,High,Short Term,Entrepreneurship
fc4687d4-edf3-4e90-b6c1-ba7b4ed9c378,Karen Haynes,whumphrey@example.com,258-522-5732x9299,65,15323.34,8619.95,High,Long Term,Emergency Fund
301bf4e8-7db1-4c48-8a88-741449bf7ff3,Tina Morrison,sgreen@example.org,712.817.9003,54,5610.43,2928.93,Medium,Long Term,Entrepreneurship
c27f80e8-6cb7-42ee-b187-cc7bc6798c72,Megan Moore,tyler68@example.com,+1-858-923-0924x1142,37,6343.01,3617.46,Medium,Short Term,Home Purchase
7b469092-c2e0-4bf3-b28e-e5bb7641cf59,David Curry,owilliams@example.net,217.326.6344,38,11164.33,6441.67,High,Short Term,Retirement
a9f0bfce-31b9-4551-93ed-7f6af25104e2,John Mosley,staceyjordan@example.com,001-370-386-0774x487,25,19735.28,10001.14,High,Short Term,Home Purchase
658eb011-3622-4411-9493-80af8219be8b,Andrew Evans,bryankirby@example.org,4503565469,28,4981.29,3962.24,Medium,Short Term,Entrepreneurship
73f8a1ca-5d53-4c27-8cf5-70c77d8606ea,Ashley Hunt,ellisjeffrey@example.org,(377)664-2180,65,5750.76,3861.13,High,Long Term,Education
c4eb5065-ba47-4e28-beb8-001edaab88a6,Alexander Fernandez,derekfrank@example.net,510-535-6587,18,16239.87,10007.02,High,Long Term,Car Purchase
c3597dfe-57a9-4e77-83b6-d6283d55025d,Richard Durham,arussell@example.com,+1-930-458-5860x98392,36,17837.33,11868.13,High,Long Term,Retirement
6db83071-45ab-43dc-920c-5f2a4ec81fb1,Pamela Moreno,robinsonnicole@example.net,001-326-792-6259x74133,77,9254.49,4971.96,Medium,Medium Term,Retirement
02909749-0074-425a-af8e-90006fa2d259,Dawn Roach,annette35@example.com,214.669.1434x81326,73,13686.64,7815.31,Medium,Medium Term,Retirement
ae3e5905-cfbe-4722-9d19-15df746b5ae3,Brandon Wilkerson,jillianflynn@example.org,(493)689-5358x58352,72,16387.09,9664.73,High,Medium Term,Car Purchase
3fc82f84-dd41-49e0-91f2-2c4a698e2341,Julie Watkins,jacob96@example.com,+1-631-895-6212x25452,20,10779.6,7517.64,Medium,Medium Term,Car Purchase
1a4efa55-eda0-45a8-9ff8-339ffe32067c,Shelby Dixon,jeffreyberg@example.org,694.628.2432x9815,38,9014.06,4819.84,High,Medium Term,Home Purchase
8a8a6c94-5586-4b99-a689-c3a96f01635f,Kimberly Richardson,angela85@example.net,(984)297-5973x75913,24,7944.09,4782.29,High,Short Term,Education
15c015df-2695-4dec-bc64-fb83fd040f73,Jesse Keith,rachel63@example.net,(239)876-9489x33701,62,17564.6,12205.61,High,Medium Term,Entrepreneurship
993a4c9a-7619-411a-abe1-292cc79e667f,Scott Sanchez,wyattjennifer@example.org,+1-479-574-2533,35,1703.35,1258.44,Low,Medium Term,Home Purchase
ab413f40-4431-48ad-952a-d2283ae2d7ad,Amanda Leach,tmartinez@example.org,+1-204-682-2675x06694,23,8924.48,5196.31,High,Medium Term,Entrepreneurship
4bac9ece-fdc6-46cd-80e0-fd366cb651e1,Pam Bautista,dominguezjeffery@example.net,001-320-914-4314x2403,63,19827.61,12277.77,High,Medium Term,Education
cbac9e20-0ea8-4dc5-a8a9-c02837c0c127,Cassandra Page,elizabethsoto@example.org,5327027769,53,17279.14,11470.96,High,Long Term,Home Purchase
6d342036-b032-4a82-bab4-2e01f889107e,Dr. Aaron Daniels,nealandrew@example.com,001-395-309-7855x1999,30,16787.18,10699.66,High,Long Term,Car Purchase
315e2178-0366-4c3c-933b-dbc2f6f56b06,William Hogan,carol23@example.com,+1-286-294-0801x699,42,15585.35,8264.01,High,Short Term,Car Purchase
39a97512-7f43-40ac-adb2-96a84f3cd6aa,Tamara Murphy,montoyashannon@example.net,836.844.1214x4721,29,11901.1,7442.74,Medium,Long Term,Car Purchase
11eafb62-0a26-41c0-b34d-4aeee13ffb7b,Sheri Ferrell,stephanie97@example.org,918.349.5434x0261,30,2180.38,1458.7,Medium,Long Term,Home Purchase
b44ec18e-c9c9-4b72-9ea9-460f22342f37,Charles Stone,william29@example.net,919-442-9676,38,10425.75,6567.75,Medium,Medium Term,Emergency Fund
4bd8201c-eb85-4e35-a2aa-2dd1bc4ee71d,Isaac Dickson,roblesbrian@example.com,6437848649,37,16888.53,9703.26,High,Long Term,Retirement
cdeb2af9-603f-491b-9492-d82672b91d98,Taylor Sawyer,daniel94@example.net,7682943445,39,19237.11,9669.05,High,Medium Term,Home Purchase
8c38b84e-9be8-4e16-9696-9338a3756d25,Lisa Kelly,ana65@example.com,3634991599,34,18488.63,11125.84,High,Medium Term,Retirement
68c74111-ded7-4590-bb5e-d8750cefc8e4,Alexis Lee,gjohnson@example.com,(874)511-8084x02773,49,15595.53,8537.7,High,Medium Term,Emergency Fund
748fc212-6cc5-48a3-97b2-59358bf994dd,Samantha Salazar,anthonyhenderson@example.com,951-976-0260x1184,31,13913.33,8113.94,Medium,Long Term,Retirement
e6af78a5-45ef-4f6c-b533-3ef9453d7eb4,Amanda Carter,raven26@example.com,359.801.9951x5240,41,11653.29,7255.29,High,Medium Term,Entrepreneurship
082342e4-6573-442f-98ff-00074485f82e,Rachel Molina,michael80@example.org,001-640-715-1782x492,54,15368.08,9881.65,High,Short Term,Car Purchase
69417aec-9b9c-4d43-8d2c-4beb93411eba,Walter Fritz,andrewreeves@example.net,(788)767-6506x239,48,3702.21,2206.35,Medium,Long Term,Home Purchase
d2d6e294-67fc-4f02-8191-366ab3a8c092,Dr. Molly Huber,thomasmoore@example.org,+1-298-924-4538,66,11592.65,7357.28,High,Long Term,Retirement
9b013da3-e2b4-4b33-8773-ce9695d92121,Brian Williams,jonathanpierce@example.org,714.857.6829x725,30,16588.96,10421.36,High,Medium Term,Retirement
592a80df-7299-40ce-9c8f-9ffa0cb6ab2e,Cynthia Lopez,princecolin@example.org,793-364-9467,59,17743.52,12028.94,High,Short Term,Retirement
4384def5-acb8-432f-a3bb-35e2f6069ee0,Adrian Morris,matthew99@example.org,367.656.7732x80088,79,7636.86,4246.48,High,Long Term,Retirement
bdcee3ac-f818-4d31-9b0f-75cea600dd87,Allen Daniel,osmith@example.org,+1-211-344-3534x90369,64,19862.73,13718.59,High,Short Term,Emergency Fund
e9c00f69-a3c6-4e7b-acac-38e474b44933,Mr. Steven Woods DDS,xross@example.com,001-852-357-4277,24,5053.74,2597.21,Medium,Medium Term,Entrepreneurship
78a0bcb3-3090-458b-a6c2-2932d8e50e23,Daniel Kirby,scotthernandez@example.net,554-769-8828,55,9988.17,5421.59,Medium,Long Term,Education
49d4eb39-e1ac-4052-87b3-224fa4db6ede,Stephanie Lewis,aball@example.org,001-319-203-3168x254,32,13561.24,9312.62,High,Short Term,Emergency Fund
b08a62f1-8fe7-4621-b562-465c74f4832a,Jose Ramirez,jessica36@example.org,(885)376-3753x91264,48,2341.7,1243.35,Medium,Medium Term,Emergency Fund
d1821869-e03f-43d9-80cf-7bda9d35024e,Charles Stevens,ejensen@example.net,982-953-4040,48,18098.88,10836.32,High,Long Term,Home Purchase
0c3be7dc-3f69-4e83-abf2-d8c26d10a3ab,Angela Brown,lauralarson@example.com,723.800.7629x52552,23,7846.86,5472.14,High,Medium Term,Entrepreneurship
58c111e0-8567-4bef-b597-5a0ca24fc432,Samuel Pennington,dakota52@example.net,001-606-540-2536,30,19231.98,13118.41,High,Short Term,Entrepreneurship
0eefbefb-9598-46d2-9c61-9ef089a6b13d,Jacqueline Mcdonald,umason@example.com,(227)989-5203,23,16246.65,8255.18,High,Long Term,Emergency Fund
4f4f0298-7645-4bff-af04-b4b87c350945,Robert Miles,loriestrada@example.com,(516)284-6414x6032,40,4002.41,3141.55,Medium,Medium Term,Car Purchase
c02e4673-5940-4892-a276-871c386a092d,Courtney Hobbs,pcasey@example.net,379.652.8301,65,3458.34,1802.68,Medium,Medium Term,Entrepreneurship
