id,name,email,telefone,age,monthly_income,monthly_expense,risk_taken,investment_duration,financial_goal
bc78d9e9-ff49-4844-aa57-96f8a7101192,Heloisa Rios,alvesbreno@example.net,(021) 7214-9025,49,2513.84,1843.78,Medium,Long Term,Retirement
bbee03dc-944c-4718-b2a8-d735a3dc360a,Maria Julia Mendes,laisda-luz@example.com,(071) 8687 0316,31,13046.33,6595.89,Medium,Short Term,Education
4ca6752f-df85-4777-a9a1-c13d4a712d84,Letícia Gonçalves,da-mataheloisa@example.org,81 6859 5647,63,18602.04,12825.84,High,Long Term,Retirement
e9ca3f26-e234-4e5c-949c-416789dc34a8,Davi Lucas Moura,da-luzaugusto@example.org,81 5414 9503,28,10256.71,5198.88,Medium,Medium Term,Home Purchase
eb6dde5c-fdac-43df-a2bd-4cac213615ab,Maria Flor Andrade,biancabarbosa@example.com,(031) 6557 2044,25,16564.4,11470.34,High,Short Term,Home Purchase
4e6624aa-73f1-4e45-8e22-9ea9ad2f19ad,João Lucas da Rosa,vasconcelospaulo@example.net,51 4849 3393,40,8947.86,4876.2,Medium,Long Term,Education
1525cc39-450a-4f32-8870-c91c48d9bf34,Bárbara Cunha,ferreiramathias@example.org,(061) 4744-2815,74,17152.08,9722.63,High,Medium Term,Entrepreneurship
4fee528a-f198-493d-9b35-a93e7ea8257c,Valentina Rios,emanuelrios@example.net,41 3417 6563,40,16639.91,11474.86,High,Long Term,Retirement
65bfca29-2670-4c35-b54b-e4cb8207bced,Ian da Rosa,dantemendes@example.com,31 2685-8009,62,17616.15,10668.25,High,Medium Term,Retirement
caa757fe-019f-4bc3-b0bb-5a0a913a8191,Eduarda Gomes,vieirakamilly@example.com,81 5160-4380,25,16933.11,10052.13,High,Medium Term,Entrepreneurship
32d49faf-9d32-4890-80a5-265de4cd84a9,Sra. Hellena Peixoto,hfarias@example.com,21 3958 3640,37,8167.92,4430.15,Medium,Long Term,Car Purchase
ed7d4f78-8ddb-4183-8a12-da0f721936ad,Anna Liz Dias,raquelda-luz@example.org,(041) 9873 6949,67,13349.36,7526.11,Medium,Medium Term,Retirement
208aa20f-7064-4cdc-9408-af83147e928e,Pedro Henrique Sousa,maria-isis32@example.net,51 6191 9265,26,6496.33,4195.45,High,Medium Term,Emergency Fund
480aae38-8d84-4e16-b883-b16fb848f2ca,Srta. Laís Fogaça,thiagorocha@example.org,+55 21 8021 7519,61,6158.61,3681.04,High,Long Term,Entrepreneurship
03704f88-712e-40cf-8fac-708c04f8727f,Brenda da Paz,francisco46@example.com,31 9663 1690,33,12935.0,7114.33,High,Short Term,Education
989ab998-7429-4eba-a989-f5c17455c760,Marcelo Vargas,yda-paz@example.net,+55 (041) 5414-8824,44,5477.01,3821.34,Medium,Long Term,Home Purchase
303ac390-5b53-4815-ad2e-f263e8738fdb,Ana Vitória Pereira,ian15@example.net,(081) 8631 5138,76,15323.51,8392.36,High,Short Term,Car Purchase
9b612385-9ef0-4448-abfd-e6d4b23cd02e,Davi Lucca Mendonça,albuquerqueamanda@example.com,+55 61 8625 9903,19,17999.93,11146.54,High,Long Term,Retirement
dc8d8989-cab0-43d6-9c21-d8233f6f9173,Luiz Henrique Montenegro,alicesampaio@example.com,21 3395 2798,51,4587.4,3570.81,Medium,Short Term,Entrepreneurship
c7bb5711-2bad-4ae2-89df-bbccf38dd91c,Vitor Gabriel da Mota,vieiravinicius@example.org,+55 (011) 3776-0155,76,16497.07,9429.89,High,Short Term,Entrepreneurship
76e6a1c7-fecb-4b04-8757-08396b082d7c,Cauã Novaes,raquelsantos@example.org,(084) 1762 3549,73,12590.17,8153.49,Medium,Medium Term,Emergency Fund
73ca290d-7256-4553-bd29-079e5c50353f,Arthur Macedo,qpeixoto@example.net,+55 (081) 7353 5894,27,12222.3,6756.06,High,Medium Term,Education
c73403bb-56b0-45e1-9c59-7217615cf4d3,Dr. Caleb Montenegro,nda-cruz@example.net,+55 21 2152 6867,56,17264.22,8694.47,High,Long Term,Emergency Fund
217e2c35-782b-43bb-b478-a3a0b5a665fa,Mariane Vasconcelos,alicevieira@example.net,61 5475 0456,19,7826.32,5247.24,Medium,Short Term,Education
95401f22-8dfe-4c62-a1ce-4e15f2fa8c70,Benício Garcia,brezende@example.org,+55 (061) 7214-4444,18,18640.99,10930.65,High,Medium Term,Emergency Fund
16df6531-a8da-4fbc-a43c-4869f98cb3e3,Marcelo Correia,maria-clara45@example.com,(084) 3974 7096,55,12978.14,7392.9,High,Medium Term,Retirement
62803906-2dc8-4547-b409-840cd618fbec,Diogo Casa Grande,enrico45@example.com,+55 71 4153-3565,36,16807.97,11678.71,High,Medium Term,Entrepreneurship
917204ba-b3f9-4086-8049-701eaed1baee,Juan Pires,mourahadassa@example.com,+55 61 0979-6502,27,2084.56,1026.05,Low,Short Term,Retirement
dc845c87-d676-4878-b863-ecdcb2a9a9cd,Dra. Alexia Pinto,beatriz97@example.net,+55 11 1575 2963,39,7976.62,4536.42,High,Long Term,Emergency Fund
f27ba08b-dd7b-4fc8-8add-e66fd803e53f,Arthur Gabriel Pires,raeloliveira@example.net,0900-181-2299,77,13005.15,7521.85,Medium,Long Term,Car Purchase
40e77fde-3ae0-4cd4-ac91-e30a79585915,Camila Gonçalves,levioliveira@example.com,0300 122 9186,28,4826.65,1998.11,Medium,Long Term,Car Purchase
200da98c-0121-465b-938d-32fd42f3a51b,Nicole Nascimento,albuquerquehenry@example.net,(021) 1690 1692,76,11121.06,7007.37,Medium,Short Term,Emergency Fund
5e0fb891-d6c9-4596-b0ca-5c072fce0280,Sra. Maria Liz Leão,rafaeldias@example.org,11 6424 4987,20,4134.88,2899.79,Low,Medium Term,Education
963518a6-9eb6-48cb-a25b-52db6d5b247e,Maitê Silva,albuquerquedanilo@example.com,(041) 8806 6381,30,18876.05,12252.76,High,Short Term,Emergency Fund
97e9d67d-2c41-4349-8052-3fd33e2701a2,Hellena Viana,rafaelcasa-grande@example.com,+55 (071) 6395 0852,23,6207.22,3658.17,Medium,Long Term,Emergency Fund
308965e2-3224-48f8-9842-a494e27a0246,Ravi Jesus,luanda-mota@example.org,71 1320-1852,60,6101.87,3057.29,High,Short Term,Car Purchase
610cb48e-cc32-4498-9b5c-720a1d8733ed,Maria Laura da Mata,isaquecorreia@example.com,0800 632 1953,70,9504.87,5333.51,High,Medium Term,Retirement
863201af-568a-42ac-a2e2-be26b69473cf,Erick Jesus,maria-eduarda10@example.com,84 9988 6963,39,2690.45,1281.02,Medium,Short Term,Education
ef2a0645-ba1e-4bc0-9363-f239becd0200,Dr. Henry Pinto,fsouza@example.net,+55 31 3384-0753,71,4958.27,3675.18,Medium,Short Term,Retirement
1404d2cd-ef93-4ab4-a97d-f333e65512ba,Marcelo Aragão,joao38@example.com,+55 81 5038-6562,51,8893.41,5762.99,High,Long Term,Emergency Fund
5513e40a-cb68-4e08-b839-17eab6e5c29a,Leandro Moraes,lteixeira@example.org,+55 84 9573-9811,41,16649.46,10811.82,High,Medium Term,Home Purchase
123b320f-3d9d-4c71-8d20-85d845093bff,Asafe Peixoto,ydias@example.org,71 4142-0412,47,10883.99,7476.62,High,Long Term,Entrepreneurship
07cb7aca-3982-4315-8f03-c6fe21d4c842,Raquel Novaes,leaolucas@example.net,(011) 8050 3133,33,11087.95,6205.9,High,Short Term,Retirement
21c1c6ed-feec-484a-ba5c-d612c471cd5b,Diogo Sousa,calebcasa-grande@example.org,+55 (084) 6668-3443,76,9138.46,6265.38,Medium,Medium Term,Home Purchase
aec422a2-1bf1-48f2-8a6e-ebdc1c7fc58e,Ana Julia Camargo,thalespeixoto@example.net,+55 (051) 6020-9014,41,4218.5,3104.42,Medium,Medium Term,Retirement
90a7e06d-8b9d-444b-ae7f-d90092c4b6b3,Thomas Sampaio,gabrielacamargo@example.org,+55 (051) 0468-3506,20,15898.73,8746.22,High,Medium Term,Car Purchase
d7049122-a399-42e4-bf40-0e09391b8539,Benjamin Rodrigues,ana-vitoria88@example.com,+55 (011) 6498-4362,43,3804.51,2265.48,Low,Long Term,Car Purchase
55b36ef5-7db3-4c64-aa92-4b478f90727f,Thomas Castro,ana-liz86@example.net,+55 84 7559-3491,60,5066.87,3473.01,High,Short Term,Car Purchase
1800d325-0edc-46a8-9e0e-755f4def26c1,Hellena Vargas,rodrigoaparecida@example.org,0300 997 6916,79,6717.8,4035.21,Medium,Medium Term,Entrepreneurship
af4c22ad-e46b-4c3f-90d2-be16877a5acb,Henry Silveira,luccajesus@example.org,(021) 2665 8835,38,9189.44,5339.8,Medium,Medium Term,Car Purchase
3e18628f-0ead-4d0b-953d-d946d9cf0791,Calebe da Conceição,portosofia@example.org,61 5125 2697,52,19738.1,10693.08,High,Short Term,Car Purchase
96831941-a5f9-4986-9393-c111b9032020,Aurora Almeida,tsousa@example.com,+55 21 9112 7514,73,9367.84,5210.33,High,Long Term,Car Purchase
